"Data","id_marca","Nome_Marca","Nome_Veiculo","Vendas","Valor_Veiculo"
"2022-08-01","2","Volkswagen","Up","20","38000"
"2022-08-01","3","Kia","Picanto","22","33000"
"2022-08-01","4","Peugeot ","208","10","78000"
"2022-08-01","5","Toyota","Corolla","10","14000"
"2022-08-01","6","Nissan","March","1","22000"
"2022-08-01","7","Mitsubishi","L200","3","300000"
"2022-08-01","2","Volkswagen","Saveiro","6","60000"
"2022-08-01","9","Chevrolet ","onix","4","45000"
"2022-08-01","10","JaC Motors","J2","1","12000"
"2022-08-01","11","Renault","Clio","4","32000"
"2022-09-01","1","Fiat","Mobi","20","34000"
"2022-09-01","2","Volkswagen","Up","21","45000"
"2022-09-01","3","Kia","Picanto","18","35000"
"2022-09-01","4","Peugeot ","307","1","19000"
"2022-09-01","5","Toyota","Corolla","4","120000"
"2022-09-01","6","Nissan","March","2","30000"
"2022-09-01","7","Mitsubishi","Lancer","3","70000"
"2022-09-01","8","Subaru","Brz","5","240000"
"2022-09-01","9","Chevrolet ","onix","4","38000"
"2022-09-01","10","JaC Motors","J2","1","10000"
"2022-09-01","11","Renault","Sandero","1","32000"
"2022-10-01","1","Fiat","Mobi","15","60000"
"2022-10-01","2","Volkswagen","Up","17","54000"
"2022-10-01","3","Kia","Picanto","19","42000"
"2022-10-01","4","Peugeot ","206","6","12000"
"2022-10-01","5","Toyota","Yaris","2","60000"
"2022-10-01","2","Volkswagen","Kombi","2","45000"
"2022-10-01","7","Mitsubishi","Lancer","3","80000"
"2022-10-01","8","Subaru","Forester","10","360000"
"2022-10-01","9","Chevrolet ","onix","1","40000"
"2022-10-01","10","JaC Motors","J2","2","14000"
"2022-10-01","11","Renault","Clio","6","36000"
"2022-11-01","1","Fiat","Mobi","25","64000"
"2022-11-01","2","Volkswagen","Up","26","58000"
"2022-11-01","3","Kia","Picanto","30","46000"
"2022-11-01","4","Peugeot ","208","15","92000"
"2022-11-01","5","Toyota","Corolla","6","158000"
"2022-11-01","6","Nissan","March","3","30000"
"2022-11-01","1","Fiat","Uno","2","42000"
"2022-11-01","3","Kia","Rio","1","89000"
"2022-11-01","9","Chevrolet ","onix","5","40000"
"2022-11-01","10","JaC Motors","J2","1","12000"
"2022-11-01","11","Renault","Clio","10","42000"
"2022-12-01","1","Fiat","Mobi","32","72000"
"2022-12-01","2","Volkswagen","Up","24","68000"
"2022-12-01","3","Kia","Picanto","19","49000"
"2022-12-01","4","Peugeot ","2008","1","90000"
"2022-12-01","5","Toyota","Yaris","3","75000"
"2022-12-01","1","Fiat","Palio","1","15000"
"2022-12-01","7","Mitsubishi","Pajero","5","280000"
"2022-12-01","8","Subaru","Forester","12","360000"
"2022-12-01","3","Kia","Cerato","2","45000"
"2022-12-01","10","JaC Motors","J2","1","12000"
"2022-12-01","11","Renault","Sandero","6","52000"
